kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LIB.5.sm_62.ptx 1835 : 1160768 7717408 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1834 : 1160768 44627616 15616 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1833 : 1160768 4232288 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1832 : 1160768 10446624 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1831 : 1161056 121880640 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1830 : 1161056 10449504 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1829 : 1161056 6966336 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1828 : 1161056 6966336 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1827 : 1161088 15093728 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1826 : 1161088 15094144 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1825 : 1161088 6966528 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1824 : 1161088 6966528 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1823 : 1161088 6966528 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1822 : 1161120 10449792 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1821 : 1161152 10450080 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1820 : 1161248 51090688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1819 : 1161248 6967488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1818 : 1161248 10451232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1817 : 1161280 44038816 13568 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1816 : 1161280 10451232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1815 : 1161312 4215264 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1812 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1811 : 69632 348160 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1810 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1809 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1808 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1807 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1805 : 69632 0 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1804 : 69632 417792 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1705 : 69632 0 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1704 : 69632 417792 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1632 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1799 : 53248 479232 0 0 0 0 0 0 0 
